Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
113,Register,x,MacOS,Angular,"registration page with details like email , password and confirm password",x,userRegistered
114,Register1,x,MacOS,Angular,"registration page with details like name,email,username,password and confirm password",x,userRegistered
115,Register2,x,MacOS,Angular,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
116,RoomSelector,Hotel Booking,MacOS,Angular,room type and number of guests dropdown ,x,x
117,SearchBook,Library Management,MacOS,Angular,search box for entering book name,x,x
118,SearchProduct,Ecommerce,MacOS,Angular,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
119,SearchProductUI,Ecommerce,MacOS,Angular,search box for entering product name to search,loggedIn,productSearchTerm
120,ThankYouPage,Ecommerce,MacOS,Angular,thank you page for the username,x,x
121,TrainBookingConfirmed,Railway Booking,MacOS,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
122,TrainDisplayUI,Railway Booking,MacOS,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
123,BusBookingConfirmed,Bus Booking,MacOS,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
124,BusDisplayUI,Bus Booking,MacOS,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
125,VerificationEmailPage,Ecommerce,MacOS,Angular,verification email sent page,x,x
126,VideoList,Online Video,MacOS,Angular,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
127,YoutubeVideoPlay,Online Video,MacOS,Angular,youtube video player with video id ,videoId,x
128,AddBookUI,Library Management,Windows,Angular,"add book ui using author name, book name and year",x,x
129,AddBookUI,Supply Chain,Windows,Angular,"add book ui using author name, book name and year",x,x
130,AuthorAndGenre,Library Management,Windows,Angular,author name dropdown and genre dropdown,x,x
131,AuthorAndGenre,Supply Chain,Windows,Angular,author name dropdown and genre dropdown,x,x
132,BerthAvailabilty,Railway Booking,Windows,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
133,BookAddedSuccessfullyDialog,Library Management,Windows,Angular,book added sucessfully dialog,bookAddedSuccessful,x
134,BookAddedSuccessfullyDialog,Supply Chain,Windows,Angular,book added sucessfully dialog,bookAddedSuccessful,x
135,BookingConfirmation,Hotel Booking,Windows,Angular,confirmation page display,x,x
136,BookList,Library Management,Windows,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
137,BookList,Supply Chain,Windows,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
138,CalculateAgeScreen,Educational,Windows,Angular,Calculate age using date picker and date of birth,loggedIn,age
139,CityNameDropdown,Hotel Booking,Windows,Angular,city name dropdown,isLoggedIn,cityName:String
140,CityNameWithState,Hotel Booking,Windows,Angular,city name dropdown with state,x,x
141,ClassTypeAndQuota,Railway Booking,Windows,Angular,class type dropdown and quota type dropdown,x,x
142,ClassTypeAndQuota,Bus Booking,Windows,Angular,class type dropdown and quota type dropdown,x,x
143,DateOfJourney,Bus Booking,Windows,Angular,date of journey input,x,x
144,DateOfJourney,Railway Booking,Windows,Angular,date of journey input,x,x
145,DisplayAgeOutput,Educational,Windows,Angular,Display the age ,age,x
146,FlightBookingConfirmed,Flight Booking,Windows,Angular,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
147,FlightClassType,Flight Booking,Windows,Angular,select flight class type from dropdown,x,x
148,FlightDisplayUI,Flight Booking,Windows,Angular,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
149,FromCityToCity,Bus Booking,Windows,Angular,From city dropdown and to city dropdown select,x,x
150,FromCityToCity,Railway Booking,Windows,Angular,From city dropdown and to city dropdown select,x,x
151,FromCityToCityDOJ,Flight Booking,Windows,Angular,From city dropdown and to city dropdown and date of journey select,x,x
152,FromDateToDate,Hotel Booking,Windows,Angular,from date and to date input,x,x
153,GetFlights,Flight Booking,Windows,Angular,"get flights button to search for flights using from city name , to city name and date of journey",x,x
154,GetTrains,Railway Booking,Windows,Angular,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
155,GSTCalculator,x,Windows,Angular,gst calculate on amount or fare,amount,amount
156,HotelListUI,Hotel Booking,Windows,Angular,list of hotels with hotel select from list,x,x
157,HotelRentCalculator,Hotel Booking,Windows,Angular,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
158,HotelSearch,Hotel Booking,Windows,Angular,search hotels using city name,cityName,ids:String[]
159,LoginCaptchaScreen,x,Windows,Angular,"Login using username, password and captcha",x,loggedIn
160,LoginCheck,x,Windows,Angular,check username and password validity,"username,password",isLoggedIn
161,LoginErrorPage,x,Windows,Angular,login failed error page,x,x
162,LoginScreen,x,Windows,Angular,Login using username and password,x,loggedIn
163,LoginScreen1,x,Windows,Angular,"login using username ,password and register option",x,"userRegistered,loggedIn"
164,Logout,x,Windows,Angular,logout button,paymentStatus,loggedIn
165,NumberOfItems,Ecommerce,Windows,Angular,number of items dropdown,selectedProduct,numberOfItems
166,PassengerDetails,Railway Booking,Windows,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
167,PassengerDetails,Bus Booking,Windows,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
168,PaymentFailed,x,Windows,Angular,payment failed page for the given amount,x,x
169,PaymentPageUI,x,Windows,Angular,"payment page with options like credit card, debit card and cash",x,x
170,PaymentPageUI1,x,Windows,Angular,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
171,ProductCategory,Ecommerce,Windows,Angular,product category dropdown,loggedIn,productCategorySelected
172,ProductFareCalculator,Ecommerce,Windows,Angular,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
173,ProductList,Ecommerce,Windows,Angular,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
174,ProfilePage,Ecommerce,Windows,Angular,"profile page with details like name,username,email,address and phone number",x,x
175,Register,x,Windows,Angular,"registration page with details like email , password and confirm password",x,userRegistered
176,Register1,x,Windows,Angular,"registration page with details like name,email,username,password and confirm password",x,userRegistered
177,Register2,x,Windows,Angular,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
178,RoomSelector,Hotel Booking,Windows,Angular,room type and number of guests dropdown ,x,x
179,SearchBook,Library Management,Windows,Angular,search box for entering book name,x,x
180,SearchProduct,Ecommerce,Windows,Angular,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
181,SearchProductUI,Ecommerce,Windows,Angular,search box for entering product name to search,loggedIn,productSearchTerm
182,ThankYouPage,Ecommerce,Windows,Angular,thank you page for the username,x,x
183,TrainBookingConfirmed,Railway Booking,Windows,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
184,TrainDisplayUI,Railway Booking,Windows,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
185,BusBookingConfirmed,Bus Booking,Windows,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
186,BusDisplayUI,Bus Booking,Windows,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
187,VerificationEmailPage,Ecommerce,Windows,Angular,verification email sent page,x,x
188,VideoList,Online Video,Windows,Angular,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
189,YoutubeVideoPlay,Online Video,Windows,Angular,youtube video player with video id ,videoId,x
190,AddBookUI,Library Management,Windows,C#,"add book ui using author name, book name and year",x,x
191,AddBookUI,Supply Chain,Windows,C#,"add book ui using author name, book name and year",x,x
192,AuthorAndGenre,Library Management,Windows,C#,author name dropdown and genre dropdown,x,x
193,AuthorAndGenre,Supply Chain,Windows,C#,author name dropdown and genre dropdown,x,x
194,BerthAvailabilty,Railway Booking,Windows,C#,"check for available berths using the values like train number ,DOJ, from and to city",x,x
195,BookAddedSuccessfullyDialog,Library Management,Windows,C#,book added sucessfully dialog,bookAddedSuccessful,x
196,BookAddedSuccessfullyDialog,Supply Chain,Windows,C#,book added sucessfully dialog,bookAddedSuccessful,x
197,BookingConfirmation,Hotel Booking,Windows,C#,confirmation page display,x,x
198,BookList,Library Management,Windows,C#,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
199,BookList,Supply Chain,Windows,C#,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
200,CalculateAgeScreen,Educational,Windows,C#,Calculate age using date picker and date of birth,loggedIn,age
201,CityNameDropdown,Hotel Booking,Windows,C#,city name dropdown,isLoggedIn,cityName:String
202,CityNameWithState,Hotel Booking,Windows,C#,city name dropdown with state,x,x
203,ClassTypeAndQuota,Railway Booking,Windows,C#,class type dropdown and quota type dropdown,x,x
204,ClassTypeAndQuota,Bus Booking,Windows,C#,class type dropdown and quota type dropdown,x,x
205,DateOfJourney,Bus Booking,Windows,C#,date of journey input,x,x
206,DateOfJourney,Railway Booking,Windows,C#,date of journey input,x,x
207,DisplayAgeOutput,Educational,Windows,C#,Display the age ,age,x
208,FlightBookingConfirmed,Flight Booking,Windows,C#,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
209,FlightClassType,Flight Booking,Windows,C#,select flight class type from dropdown,x,x
210,FlightDisplayUI,Flight Booking,Windows,C#,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
211,FromCityToCity,Bus Booking,Windows,C#,From city dropdown and to city dropdown select,x,x
212,FromCityToCity,Railway Booking,Windows,C#,From city dropdown and to city dropdown select,x,x
213,FromCityToCityDOJ,Flight Booking,Windows,C#,From city dropdown and to city dropdown and date of journey select,x,x
214,FromDateToDate,Hotel Booking,Windows,C#,from date and to date input,x,x
215,GetFlights,Flight Booking,Windows,C#,"get flights button to search for flights using from city name , to city name and date of journey",x,x
216,GetTrains,Railway Booking,Windows,C#,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
217,GSTCalculator,x,Windows,C#,gst calculate on amount or fare,amount,amount
218,HotelListUI,Hotel Booking,Windows,C#,list of hotels with hotel select from list,x,x
219,HotelRentCalculator,Hotel Booking,Windows,C#,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
220,HotelSearch,Hotel Booking,Windows,C#,search hotels using city name,cityName,ids:String[]
221,LoginCaptchaScreen,x,Windows,C#,"Login using username, password and captcha",x,loggedIn
222,LoginCheck,x,Windows,C#,check username and password validity,"username,password",isLoggedIn
223,LoginErrorPage,x,Windows,C#,login failed error page,x,x
224,LoginScreen,x,Windows,C#,Login using username and password,x,loggedIn
225,LoginScreen1,x,Windows,C#,"login using username ,password and register option",x,"userRegistered,loggedIn"
226,Logout,x,Windows,C#,logout button,paymentStatus,loggedIn
227,NumberOfItems,Ecommerce,Windows,C#,number of items dropdown,selectedProduct,numberOfItems
228,PassengerDetails,Railway Booking,Windows,C#,"add details of passenger with input of name , age , gender  , phone number ",x,x
229,PassengerDetails,Bus Booking,Windows,C#,"add details of passenger with input of name , age , gender  , phone number ",x,x
230,PaymentFailed,x,Windows,C#,payment failed page for the given amount,x,x
231,PaymentPageUI,x,Windows,C#,"payment page with options like credit card, debit card and cash",x,x
232,PaymentPageUI1,x,Windows,C#,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
233,ProductCategory,Ecommerce,Windows,C#,product category dropdown,loggedIn,productCategorySelected
234,ProductFareCalculator,Ecommerce,Windows,C#,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
235,ProductList,Ecommerce,Windows,C#,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
236,ProfilePage,Ecommerce,Windows,C#,"profile page with details like name,username,email,address and phone number",x,x
237,Register,x,Windows,C#,"registration page with details like email , password and confirm password",x,userRegistered
238,Register1,x,Windows,C#,"registration page with details like name,email,username,password and confirm password",x,userRegistered
239,Register2,x,Windows,C#,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
240,RoomSelector,Hotel Booking,Windows,C#,room type and number of guests dropdown ,x,x
241,SearchBook,Library Management,Windows,C#,search box for entering book name,x,x
242,SearchProduct,Ecommerce,Windows,C#,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
243,SearchProductUI,Ecommerce,Windows,C#,search box for entering product name to search,loggedIn,productSearchTerm
244,ThankYouPage,Ecommerce,Windows,C#,thank you page for the username,x,x
245,TrainBookingConfirmed,Railway Booking,Windows,C#,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
246,TrainDisplayUI,Railway Booking,Windows,C#,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
247,BusBookingConfirmed,Bus Booking,Windows,C#,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
248,BusDisplayUI,Bus Booking,Windows,C#,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
249,VerificationEmailPage,Ecommerce,Windows,C#,verification email sent page,x,x
250,VideoList,Online Video,Windows,C#,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
251,YoutubeVideoPlay,Online Video,Windows,C#,youtube video player with video id ,videoId,x
252,AddBookUI,Library Management,Windows,Go,"add book ui using author name, book name and year",x,x
253,AddBookUI,Supply Chain,Windows,Go,"add book ui using author name, book name and year",x,x
254,AuthorAndGenre,Library Management,Windows,Go,author name dropdown and genre dropdown,x,x
255,AuthorAndGenre,Supply Chain,Windows,Go,author name dropdown and genre dropdown,x,x
256,BerthAvailabilty,Railway Booking,Windows,Go,"check for available berths using the values like train number ,DOJ, from and to city",x,x
257,BookAddedSuccessfullyDialog,Library Management,Windows,Go,book added sucessfully dialog,bookAddedSuccessful,x
258,BookAddedSuccessfullyDialog,Supply Chain,Windows,Go,book added sucessfully dialog,bookAddedSuccessful,x
259,BookingConfirmation,Hotel Booking,Windows,Go,confirmation page display,x,x
260,BookList,Library Management,Windows,Go,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
261,BookList,Supply Chain,Windows,Go,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
262,CalculateAgeScreen,Educational,Windows,Go,Calculate age using date picker and date of birth,loggedIn,age
263,CityNameDropdown,Hotel Booking,Windows,Go,city name dropdown,isLoggedIn,cityName:String
264,CityNameWithState,Hotel Booking,Windows,Go,city name dropdown with state,x,x
265,ClassTypeAndQuota,Railway Booking,Windows,Go,class type dropdown and quota type dropdown,x,x
266,ClassTypeAndQuota,Bus Booking,Windows,Go,class type dropdown and quota type dropdown,x,x
267,DateOfJourney,Bus Booking,Windows,Go,date of journey input,x,x
268,DateOfJourney,Railway Booking,Windows,Go,date of journey input,x,x
269,DisplayAgeOutput,Educational,Windows,Go,Display the age ,age,x
270,FlightBookingConfirmed,Flight Booking,Windows,Go,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
271,FlightClassType,Flight Booking,Windows,Go,select flight class type from dropdown,x,x
272,FlightDisplayUI,Flight Booking,Windows,Go,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
273,FromCityToCity,Bus Booking,Windows,Go,From city dropdown and to city dropdown select,x,x
274,FromCityToCity,Railway Booking,Windows,Go,From city dropdown and to city dropdown select,x,x
275,FromCityToCityDOJ,Flight Booking,Windows,Go,From city dropdown and to city dropdown and date of journey select,x,x
276,FromDateToDate,Hotel Booking,Windows,Go,from date and to date input,x,x
277,GetFlights,Flight Booking,Windows,Go,"get flights button to search for flights using from city name , to city name and date of journey",x,x
278,GetTrains,Railway Booking,Windows,Go,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
279,GSTCalculator,x,Windows,Go,gst calculate on amount or fare,amount,amount
280,HotelListUI,Hotel Booking,Windows,Go,list of hotels with hotel select from list,x,x
281,HotelRentCalculator,Hotel Booking,Windows,Go,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
282,HotelSearch,Hotel Booking,Windows,Go,search hotels using city name,cityName,ids:String[]
283,LoginCaptchaScreen,x,Windows,Go,"Login using username, password and captcha",x,loggedIn
284,LoginCheck,x,Windows,Go,check username and password validity,"username,password",isLoggedIn
285,LoginErrorPage,x,Windows,Go,login failed error page,x,x
286,LoginScreen,x,Windows,Go,Login using username and password,x,loggedIn
287,LoginScreen1,x,Windows,Go,"login using username ,password and register option",x,"userRegistered,loggedIn"
288,Logout,x,Windows,Go,logout button,paymentStatus,loggedIn
289,NumberOfItems,Ecommerce,Windows,Go,number of items dropdown,selectedProduct,numberOfItems
290,PassengerDetails,Railway Booking,Windows,Go,"add details of passenger with input of name , age , gender  , phone number ",x,x
291,PassengerDetails,Bus Booking,Windows,Go,"add details of passenger with input of name , age , gender  , phone number ",x,x
292,PaymentFailed,x,Windows,Go,payment failed page for the given amount,x,x
293,PaymentPageUI,x,Windows,Go,"payment page with options like credit card, debit card and cash",x,x
294,PaymentPageUI1,x,Windows,Go,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
295,ProductCategory,Ecommerce,Windows,Go,product category dropdown,loggedIn,productCategorySelected
